156,"Like shadows gliding o'er the plain",,"John Taylor",,,,"like_shadows_gliding_oer_the_plain","BHPPD866","A Book of Hymns for Public and Private Devotion (15th ed.)",1866,,"Like shadows gliding o'er the plain,

Or clouds that roll successive on,

Man's busy generations pass;

And while we gaze, their forms are gone.

O Father, in whose mighty hand

The boundless years and ages lie,

Teach us Thy boon of life to prize,

And use the moments as they fly;&#8212;

To crowd the narrow span of life

With wise designs and virtuous deeds;

And so shall death but lead us on

To nobler service that succeeds.

"
157,"Lord, what offering shall we bring",,"John Taylor",,,,"lord_what_offering_shall_we_bring","BHPPD866","A Book of Hymns for Public and Private Devotion (15th ed.)",1866,,"Lord! what offering shall we bring,

At Thine altars when we bow?

Hearts, the pure, unsullied spring,

Whence the kind affections flow:

Willing hands, to lead the blind,

Heal the wounded, feed the poor;

Love, embracing all our kind,

Charity, with liberal store.

Teach us, O thou Heavenly King,

Thus to show our grateful mind,

Thus the accepted offering bring,

Love to Thee and all mankind.

"
158,"Lord, Thou in all things like wast made",,"Joseph Anstice",,,,"lord_thou_in_all_things_like_wast_made","HAGA1895","The Hymnal: published by the Authority of the General Assembly of the Presbyterian Church in the U.S.A.",1895,,"1 Lord, Thou in all things like wast made


To us, yet free from sin,


Then how unlike to us, O Lord,


Replies the voice within.



2 Our faith is weak; O Light of Light,


Clear Thou our clouded view;


That Son of Man, and Son of God,


We give Thee honor due.



3 O Son of Man, Thyself hast proved


Our trials and our tears;


Life's thankless toil and scant repose,


Death's agonies and fears.



4 O Son of God, in glory raised,


Thou sittest on Thy throne:


Thence, by Thy pleadings and Thy grace,


Still succoring Thine own.



5 Brother and Saviour, Friend and Judge!


To Thee, O Christ, be given


To bind upon Thy crown the names


Most blest in earth and heaven.



Amen.


"
159,"O Lord, how happy should we be",,"Joseph Anstice",,,,"o_lord_how_happy_should_we_be","BHPPD866","A Book of Hymns for Public and Private Devotion (15th ed.)",1866,"Gender Neutral","O Lord! how happy should we be,

If we could leave our cares to Thee,

If we from self could rest,

And feel at heart that One above,

In perfect wisdom, perfect love,

Is working for the best.

For when we kneel and cast our care

Upon our God in humble prayer,

With strengthened souls we rise;

Sure that our Father, who is nigh

To hear the ravens when they cry,

Will hear His children's cries.

O, may these trustless hearts of ours

The lesson learn from birds and flowers,

And learn from self to cease,&#8212;

Leave all things to our Father's will,

And, on His mercy, leaning still,

Find, in each trial, peace!

"
160,"The Son of David bowed to die",,"Joseph Anstice",,,,"the_son_of_david_bowed_to_die","HAGA1895","The Hymnal: published by the Authority of the General Assembly of the Presbyterian Church in the U.S.A.",1895,,"1 The Son of David bowed to die,


For man's transgression stricken;


The Father's arm of power was nigh,


The Son of God to quicken.


Praise Him that He died for men;


Praise Him that He rose again.



2 Death seemed all-conquering when he bound


The Lord of life in prison;


The night of death was nowhere found


When Christ again was risen;


Wherefore praise Him night and day,


Him who took death's sting away.



3 His saints with Him must bow to death,


With Him are raised in spirit,


With Him they dwell above by faith,


Accepted through His merit;


Heaven and earth resound the strain,


Death by Jesus Christ is slain.



Amen."
161,"Breast the wave, Christian","Breast the wave, Christian","Joseph Stammers",,,,"breast_the_wave_christian","BHPPD866","A Book of Hymns for Public and Private Devotion (15th ed.)",1866,"Gender Neutral","Breast the wave, Christian! when it is strongest;

Watch for day, Christian! when the night's longest;

Onward and onward still be thine endeavor;

The rest that remaineth will be forever.

Fight the fight, Christian! Jesus is o'er thee;

Run the race, Christian! heaven is before thee;

He who hath promised faltereth never;

The love of eternity flows on forever.

Lift the eye, Christian! just as it closeth;

Raise the heart, Christian! ere it reposeth;

Thee from the love of Christ nothing shall sever;

Mount when the work is done,&#8212;praise God forever!

"
162,"O blessed Sun whose splendor","O Blessed Sun Whose Splendor","Karl Johann Philipp Spitta","Richard Massie",,,"o_blessed_sun_whose_splendor","ELH","Evangelical Lutheran Hymnary",1996,,"1 O blessed Sun whose splendor


Dispels the shades of night;


O Jesus, my Defender,


My souls' supreme delight,


Though fortune should bereave me


Of all I love the best,


If Thou Thy love still leave me,


I freely give the rest.



2 I know no life divided,


O Lord of life, from Thee;


In Thee is life provided


For all mankind and me;


I know no death, O Jesus,


Because I live in Thee;


Thy death it is which frees us


From death eternally.



3 Lord, with this truth impress me,


And write it on my heart,


To comfort, cheer, and bless me,


That Thou my Savior art.


Thy love it was which sought me,


Thyself unsought by me,


And for Thy ransom bought me


To live for aye in Thee."
163,"We are called by one vocation","We Are Called by One Vocation","Karl Johann Philipp Spitta","Richard Massie",,,"we_are_called_by_one_vocation","ELH","Evangelical Lutheran Hymnary",1996,,"1 We are called by one vocation,


Membes of one family,


Heirs through Christ of one salvation,


Let us live in harmony;


Nor by strife embitter life,


journeying to eternit.



2 In a land where all are strangers,


And our sojourning so short,


In the midst of common dangers


Concord is our best support;


Heart with heart divides the smart,


Lightens grief of ev'ry sort.



3 Let us shun all vain contention


Touching words and outward things,


Whence, alas! so much dissension


And such bitter rancor springs;


Troubles cease, where Christ brings peace


And sweet healing on His wings.



4 Judge not hastily of others,


But thine own salvation mind;


Nor be mindful of thy brother's, 


To thine own offenses blind;


God alone discerns thine own,


And the hearts of all mankind.



5 Let it be our chief endeavor


That we may the Lord obey,


Then shall envy cease forever


And all hate be done away;


Free from strife shall be his life


Who serves God both night and day!"
164,"O God, beneath Thy guiding hand","O God, Beneath Thy Guiding Hand","Leonard Bacon",,,,"o_god_beneath_thy_guiding_hand","HAGA1895","The Hymnal: published by the Authority of the General Assembly of the Presbyterian Church in the U.S.A.",1895,"Gender Neutral","1 O God, beneath Thy guiding hand


Our exiled fathers crossed the sea;


And when they trod the wintry strand,


With prayer and psalm they worshiped Thee.



2 Thou heard'st well pleased, the song, the prayer:


Thy blessing came; and still its power


Shall onward, through all ages, bear


The memory of that holy hour.



3 Laws, freedom, truth, and faith in God


Came with those exiles o'er the waves;


And where their pilgrim feet have trod,


The God they trusted guards their graves.



4 And here Thy Name, O God of love,


Their children's children shall adore,


Till these eternal hills remove,


And spring adorns the earth no more.



Amen."
165,"A multitude comes from the east and the west","A Multitude Comes from the East and the West","Magnus Brostrup Landstad","Peter O. Stromme",,,"there_many_shall_come_from_the_east_and_","ELH","Evangelical Lutheran Hymnary",1996,"Gender Neutral","1 There many shall come from the east and the west


And sit at the feast of salvation


With Abraham, Isaac, and Jacob, the blest,


Obeying the Lord's invitation.


Have mercy upon us, O Jesus!



2 But they wo have always resisted His grace


And on their own virtue depended,


Shall then be condemned and cast out from His face,


Eternally lost and unfriended.


Have mercy upon us, O Jesus!



3 O may we all hear when our Shepherd doth call,


In accents persuasive and tender,


That while there is time we make haste one and all


And find Him, our mighty Defender.


Have mercy upon us, O Jesus!



4 O that we the throng of the ransomed may swell,


To whom He hath granted remission.


God graciously make us in heaven to dwell


And save us from endless perdition.


Have mercy upon us, O Jesus!



5 God grant that I may of His infinite love


Remain in His merciful keeping;


And sit withg the King at His table above,


When here in the grace I am sleeping.


Have mercy upon us, O Jesus!



6 All trials are then like a dream that is past,


Forgotten all trouble and sorrow;


All questions and doubts have been answered at last;


Then dawneth eternity's morrow.


Have mercy upon us, O Jesus!



7 The heavens shall ring with an anthem more grand


Than ever on earth was recorded;


The blest of the Lord shall receive at His hand


The crown to the victors awarded.


Have mercy upon us, O Jesus!"
166,"A sure stronghold our God is He","A sure stronghold our God is He","Martin Luther","William Gaskell",,,"a_sure_stronghold_our_god_is_he","LG","Lyra Germanica: The Christian Year",1861,,"A sure stronghold our God is He,


A trusty shield and weapon;


Our help He'll be and set us free


From every ill can happen.


That old malicious foe


Intends us deadly woe;


Armed with the strength of hell


And deepest craft as well,


On earth is not his fellow.



183


Through our own force we nothing can,


Straight were we lost forever;


But for us fights the proper Man,


By God sent to deliver.


Ask ye who this may be?


Christ Jesus named is He,


Of Sabaoth the Lord;


Sole God to be adored;


'Tis he must win the battle.



And were the world with devils filled,


All eager to devour us,


Our souls to fear should little yield,


They cannot overpower us.


Their dreaded Prince no more


Can harm us as of yore;


Look grim as e'er he may,


Doomed is his ancient sway;


A word can overthrow him.



Still shall they leave that Word His might,


And yet no thanks shall merit;


Still is He with us in the fight,


By His good gifts and Spirit.


E'en should they take our life,


Goods, honour, children, wife--


Though all of these be gone,


Yet nothing have they won,


God's kingdom ours abideth!



"
167,"Christ Jesus lay in death's strong bands","Christ Jesus Lay in Death's Strong Bands","Martin Luther","Richard Massie",,,"christ_jesus_lay_in_deaths_strong_bands","TH1961","Trinity Hymnal",1961,,"Christ Jesus lay in death's strong bands,

For our offenses given;

But now at God's right hand he stands

And brings us life from heaven;

Therefore let us joyful be

And sing to God right thankfully

Loud songs of hallelujah. Hallelujah!

It was a strange and dreadful strife

When life and death contended;

The victory remained with life,

The reign of death was ended;

Holy Scripture plainly saith

That death is swallowed up by death,

His sting is lost for ever. Hallelujah!

Here the true Paschal Lamb we see,

Whom God so freely gave us;

He died on the accursed tree-

So strong his love!-to save us.

See, his blood doth mark our door;

Faith points to it, death passes o'er,

And Satan cannot harm us. Hallelujah!

So let us keep the festival

Whereto the Lord invites us;

Christ is himself the Joy of all,

The Sun that warms and lights us.

By his grace he doth impart

Eternal sunshine to the heart;

The night of sin is ended. Hallelujah!

Then let us feast this joyful day

On Christ, the Bread of heaven;

The Word of grace hath purged away

The old and evil leaven.

Christ alone our souls will feed,

He is our meat and drink indeed;

Faith lives upon no other. Hallelujah!"
168,"Out of the depths to Thee I raise","Out of the Depths","Martin Luther","Richard Massie",,,"out_of_the_depths_to_thee_i_raise","TH1961","Trinity Hymnal",1961,,"From depths of woe I raise to thee

The voice of lamentation;

Lord, turn a gracious ear to me

And hear my supplication:

If thou iniquities dost mark,

Our secret sins and misdeeds dark,

O who shall stand before thee?

To wash away the crimson stain,

Grace, grace alone availeth;

Our works, alas! are all in vain;

In much the best life faileth:

No man can glory in thy sight,

All must alike confess thy might,

And live alone by mercy.

Therefore my trust is in the Lord,

And not in mine own merit;

On him my soul shall rest, his Word

Upholds my fainting spirit:

His promised mercy is my fort,

My comfort and my sweet support;

I wait for it with patience.

What though I wait the livelong night,

And till the dawn appeareth,

My heart still trusteth in his might;

It doubteth not nor feareth:

Do thus, O ye of Israel's seed,

Ye of the Spirit born indeed;

And wait till God appeareth.

Though great our sins and sore our woes

His grace much more aboundeth;

His helping love no limit knows,

Our utmost need it soundeth.

Our Shepherd good and true is he,

Who will at last his Israel free

From all their sin and sorrow."
169,"Dear Christians, one and all, rejoice","Dear Christians, One and All, Rejoice","Martin Luther","Richard Massie",,,"dear_christians_one_and_all_rejoice","ELH","Evangelical Lutheran Hymnary",1996,,"1 Dear Christians, one and all, rejoice,


With exultation springing,


And, with united heart and voice


And holy rapture singing,


Proclaim the wonders God hath done,


How His right arm the victory won;


Right dearly it hath cost Him.



2 Fast bound in Satan's chains I lay;


Death brooded darkly o'er me.


Sin was my torment night and day;


In sin my mother bore me.


Yea, deep and deeper still I fell;


Life had become a living hell,


So firmly sin possessed me.



3 My good works so imperfect were,


They had no pow'r to aid me;


My will God's judgments could not bear,


Yea, prone to evil made me;


Grief drove me to despair, and I


Had nothing left me but to die;


To hell I fast was sinking.



4 But God beheld my wretched state


Before the world's foundation,


And, mindful of His mercies great,


He planned my soul's salvation.


A father's heart He turned to me,


Sought my redemption fervently:


He gave His dearest Treasure.



5 He spoke to His beloved Son:


''Tis time to have compassion.


Then go, bright Jewel of My crown,


And bring to man salvation.


From sin and sorrow set him free;


Slay bitter death for him, that he


May live with Thee forever.'



6 This Son obeyed Him cheerfully,


And born of virgin mother,


Came down upn the earth to me


That He might be my Brother.


His mighty power doth work unseen,


He came in fashion poor and mean,


And took the devil captive.



7 He sweetly said: 'Hold fast by me,


I am thy Rock and Castle.


Thy Ransom I myself will be;


For thee I strive and wrestle.


For I am with thee, I am thine,


And evermore thou shalt be mine;


The foe shall not divide us.



8 'The foe shall shed My precious blood,


Me of My life bereaving.


All this I suffer for thy good;


Be steadfast and believing.


Life shall from death the vict'ry win,


My innocence shall bear thy sin;


So art thou blest forever.



9 'Now to My Father I depart,


From earth to heav'n ascending,


Thence heav'nly wisdom to impart,


The Holy Spirit sending.


My help to thee extending.


He shall in trouble comfort thee,


Teach thee to know and follow me


And to the truth shall conduct thee.



10 'What I have done and taught, teach thou,


My ways forsake thou never;


So shall My kingdom flourish now


And God be praised forever.


Take heed lest men with base alloy


The heav'nly treasure should destroy;


This counsel I bequeath thee.'



"
170,"God the Father, be our Stay","God the Father, Be Our Stay","Martin Luther","Richard Massie",,,"god_the_father_be_our_stay","ELH","Evangelical Lutheran Hymnary",1996,"Gender Neutral","1 God the Father, be our Stay;


O let us perish never!


Cleanse us from our sins, we pray,


And grant us life forever.


Keep us from the evil one;


Uphold our faith most holy;


Grant us to trust Thee solely


With humble hearts and lowly.


Let us put God's armor on,


With all true Christian running


Our heav'nly race and shunning


The devil's wiles and cunning


Amen, amen! This be done;


So sing we, Alleluia!



2 Jesus Christ, be Thou our Stay;


O let us perish never!


Cleanse us from our sins, we pray,


And grant us life forever.


Keep us from the evil one;


Uphold our faith most holy;


Grant us to trust Thee solely


With humble hearts and lowly.


Let us put God's armor on,


With all true Christian running


Our heav'nly race and shunning


The devil's wiles and cunning


Amen, amen! This be done;


So sing we, Alleluia!



3 Holy Gost, be Thou our Stay;


O let us perish never!


Cleanse us from our sins, we pray,


And grant us life forever.


Keep us from the evil one;


Uphold our faith most holy;


Grant us to trust Thee solely


With humble hearts and lowly.


Let us put God's armor on,


With all true Christian running


Our heav'nly race and shunning


The devil's wiles and cunning


Amen, amen! This be done;


So sing we, Alleluia!



4 Triune God, be Thou our Stay,


O let us perish never!


Cleanse us from our sins, we pray,


And grant us life forever.


Keep us from the evil one;


Uphold our faith most holy;


Grant us to trust Thee solely


With humble hearts and lowly.


Let us put God's armor on,


With all true Christian running


Our heav'nly race and shunning


The devil's wiles and cunning


Amen, amen! This be done;


So sing we, Alleluia!"
171,"May God bestow on us His grace","May God Bestow on Us His Grace","Martin Luther","Richard Massie",,,"may_god_bestow_on_us_his_grace","ELH","Evangelical Lutheran Hymnary",1996,"Gender Neutral","1 May God bestow on us His grace,


With blessings rich provide us,


And may the brightness of His face


To life eternal guide us


That we His saving health may know,


His gracious will and pleasure,


And also to the heathen show


Christ's riches without measure


And unto God convert them.



2 Thine over all shall be the praise


And thanks of ev'ry nation,


And all the world with joy shall raise


The voice of exultation.


For Thou shalt judge the earth, O Lord,


Nor suffer sin to flourish.


Thy people's pasture is Thy Word,


Their souls to feed and nourish,


In rightous paths to keep them.



3 Oh, let the people praise Thy worth,


In all good works increasing;


The land shall plenteous fruit bring forth,


Thy Word is rich in blessing.


May God the Father, God the Son,


And God the Spirit bless us!


Let all the world praise Him alone;


Let solemn awe possess us.


Now let our hearts say Amen.



"
172,"To shepherds as they watched by night","To Shepherds as They Watched by Night","Martin Luther","Richard Massie",,,"to_shepherds_as_they_watched_by_night","ELH","Evangelical Lutheran Hymnary",1996,,"1 To shepherds as they watched by night


Appeared a host of angels bright;


'Behold the tender Babe,' they said,


In yonder lowly manger laid.



2 'At Bethlehem, in David's town,


As Micah did of old make known;


Tis Jesus Christ, your Lord and King,


Who doth to all salvation bring.'



3  Oh, then rejoice that through His Son


God is with sinners now at one;


Made like yourselves of flesh and blood,


Your brother is th'eternal God.



4 What harm can sin and death then do?


The true God now abides with you.


Let hell and Satan rage and chafe,


Christ is your Brother--ye are safe.



5 Not one He will or can forsake


Who Him his confidence doth make.


Let all his wiles the Tempter try,


You may his utmost pow'rs defy.



6 Ye shall and must at last prevail;


God's own ye are, ye cannnot fail.


To God forever sing your praise


With joy and patience all your days.



"
173,"Crown him with many crowns","Crown Him with Many Crowns","Matthew Bridges","Godfrey Thring",,,"crown_him_with_many_crowns","HPEC1871","Hymnal: according to the use of the Protestant Episcopal Church in the United States of America",1871,,"1 Crown Him with many crowns,


The Lamb upon His throne;


Hark! how the heavenly anthem drowns


All music but its own!


Awake, my soul, and sing


Of Him Who died for thee;


And hail Him as thy matchless King


Through all eternity.



2 Crown Him the Virgin's Son!


The God incarnate born,


Whose arm those crimson trophies won


Which now His brow adorn,


Fruit of the Mystic Rose,


True Branch of Jesse's stem,


The Root whence mercy ever flows,


The Babe of Bethlehem!



3 Crown Him the Lord of Love!


Behold His hands and side,--


Those wounds, yet visible above,


In beauty glorified:


No angel in the sky


Can fully bear that sight,


But downward bends his wondering eye


At mysteries so bright.



4 Crown Him the Lord of Peace!


whose power a sceptre sways


In heaven and earth, that wars may cease,


And all be prayer and praise.


His reign shall know no end;


And round His pierc'd feet


Fair flowers of Paradise extend


Their fragrance ever sweet.



5 Crown Him the Lord of Heaven!


One with the Father known,--


And the blest Spirit, through Him given


From yonder Triune throne!


All hail, Redeemer, hail!


For Thou hast died for me:


thy praise and glory shall not fail


Throughout eternity."
174,"Behold the Lamb of God!","Behold the Lamb of God!","Matthew Bridges",,,,"behold_the_lamb_of_god_o_thou_for_sinner","HPEC1871","Hymnal: according to the use of the Protestant Episcopal Church in the United States of America",1871,"Gender Neutral","1 Behold the Lamb of God!


O Thou for sinners slain,


Let it not be in vain


That Thou hast died:


Thee for my Saviour let me take,


My only refuge let me make


Thy pierc'd Side.



2 Behold the Lamb of God!


Into the sacred flood


Of Thy most precious Blood


My soul I cast:


Wash me and make me clean within,


And keep me pure from every sin,


Till life be past.



3 Behold the Lamb of God!


All hail, Incarnate Word,


Thou everlasting Lord,


Saviour most blest;


Fill us with love that never faints,


Grant us with all Thy bless'd Saints,


Eternal rest.



4 Behold the Lamb of God!


Worthy is He alone,


That sitteth on the throne


Of God above;


One with the Ancient of all days,


One with the Comforter in praise,


All Light and Love."
175,"Head of the hosts in glory!",,"Matthew Bridges",,,,"head_of_the_hosts_in_glory","HPEC1871","Hymnal: according to the use of the Protestant Episcopal Church in the United States of America",1871,"Gender Neutral","1 Head of the hosts in glory!


We joyfully adore thee,


Thy Church below,


Blending with those on high--


Where through the azure sky


Thy saints in ecstasy


For ever glow!



2 Angels! archangels! glorious


Guards of the church victorious!


Worship the Lamb!


One of the Three by right--


Love, majesty, and might--


The great I AM!



3 Martyrs! whose mystic legions


March o'er yon heavenly regions


In triumph round:


Wave high your banners, wave!


Your God, our Saviour, clave


For death itself a grave,


In hell profound!



4 Saints! in fair circles, casting


Rich trophies everlasting


At Jesus' feet


Amidst our rude alarms,


We stretch forth suppliant arms,


That we, too, safe from harms,


In Heaven may meet!



5 Saviour! in glory beaming,


With radiance brightly streaming,


Enthroned in power,


Grant, by Thy awful name,


That we through flood and flame


The Gospel may proclaim,


Till life's last hour.



"
176,"My God, accept my heart this day","My God, accept my heart this day","Matthew Bridges",,,,"my_god_accept_my_heart_this_day","HPEC1871","Hymnal: according to the use of the Protestant Episcopal Church in the United States of America",1871,"Gender Neutral","1 My God, accept my heart this day,


And make it always Thine,


That I from Thee no more may stray,


No more from Thee decline.



2 Before the Cross of Him Who died,


Behold, I prostrate fall;


Let every sin be crucified,


And Christ be all in all.



3 Anoint me with Thy heavenly grace,


And seal me for Thine own;


That I may see Thy glorious face,


And worship near Thy throne.



4 Let every thought, and work, and word,


To Thee be ever given;


Then life shall be Thy service, Lord,


And death the gate of heaven."
177,"Lord of all being, throned afar","Lord of all being, throned afar","Oliver Wendell Holmes",,,,"lord_of_all_being_throned_afar","HRGC1892","The Hymnal, Revised and Enlarged, as adopted by the General Convention of the Protestant Episcopal Church in the United States of America in the year of our Lord 1892",1894,"Gender Neutral","1 Lord of all being; throned afar,


Thy glory flames from sun and star;


Centre and soul of every sphere,


Yet to each loving heart now near!



2 Sun of our life, Thy quickening ray


Sheds on our path the glow of day;


Star of our hope, Thy softened light


Cheers the long watches of the night.



3 Our midnight is Thy smile withdrawn;


Our noontide is Thy gracious dawn;


Our rainbow arch, Thy mercy's sign;


All, save the clouds of sin, are Thine.



4 Lord of all life, below, above,


Whose light is truth, Whose warmth is love,


Before Thy ever-blazing throne


We ask no lustre of our own.



5 Grant us Thy truth to make us free,


And kindling hearts that burn for Thee,


Till all Thy living altars claim


One holy light, one heavenly flame.



Amen."
178,"O Lord of hosts! Almighty King!","O Lord of hosts! Almighty King!","Oliver Wendell Holmes",,,,"o_lord_of_hosts_almighty_king","HRGC1892","The Hymnal, Revised and Enlarged, as adopted by the General Convention of the Protestant Episcopal Church in the United States of America in the year of our Lord 1892",1894,"Gender Neutral","1 O Lord of Hosts! Almighty King!


Behold the sacrifice we bring:


To every arm Thy strength impart;


Thy Spirit shed through every heart.



2 Wake in our breasts the living fires,


The holy faith that warmed our sires;


Thy hand hath made our nation free;


To die for her is serving Thee.



3 Be Thou a pillared flame to show


The midnight snare, the silent foe;


And when the battle thunders loud,


Still guide us in its moving cloud.



4 God of all nations! Sovereign Lord!


In Thy dread Name we draw the sword,


We lift the starry flag on high


That fills with light our stormy sky.



5 From treason's rent, from murder's stain,


Guard Thou its folds till peace shall reign,


Till fort and field, till shore and sea,


Join our loud anthem, praise to Thee1



Amen."
179,"O Love divine, that stooped to share","O Love divine, that stooped to share","Oliver Wendell Holmes",,,,"o_love_divine_that_stooped_to_share","HRGC1892","The Hymnal, Revised and Enlarged, as adopted by the General Convention of the Protestant Episcopal Church in the United States of America in the year of our Lord 1892",1894,,"1 O Love divine, that stooped to share


Our sharpest pang, our bitterest tear!


On Thee we cast each earth-born care;


We smile at pain while Thou art near.



2 Though long the weary way we tread,


And sorrow crown each lingering year,


No path we shun, no darkness dread,


Our hearts still whispering, Thou art near.



3 When drooping pleasure turns to grief,


And trembling faith is changed to fear,


The murmuring wind, the quivering leaf,


Shall softly tell us, Thou art near.



4 On Thee we fling our burdening woe,


O Love divine, forever dear!


Content to suffer, while we know,


Living and dying, Thou art near.



Amen."
180,"Evening and morning",,"Paul Gerhardt","Richard Massie",,,"evening_and_morning","LSB2006","Lutheran Service Book",2006,"Gender Neutral","1 Evening and morning, 


Sunset and dawning,


Wealth, peace and gladness, 


Comfort in sadness:


These are Thy works; all the glory be Thine!


Times without number, 


Awake or in slumber,


Thine eye observes us, 


From danger preserves us,


Causing Thy mercy upon us to shine.



2 Father, O hear me, 


Pardon and spare me;


Calm all my terrors, 


Blot out my errors,


That by Thine eyes they may no more be scanned.


Order my goings, 


Direct all my doings;


As it may please Thee, 


Retain or release me;


All I commit to Thy fatherly hand.



3 & 4 [protected by copyright]


"
181,"If God Himself be for me","If God Himself Be for Me","Paul Gerhardt","Richard Massie",,,"if_god_himself_be_for_me","ELH","Evangelical Lutheran Hymnary",1996,,"1 If God Himself be for me,


I may a host defy;


For when I pray, before me


My foes confounded fly.


If Christ, the Head, befriend me


If God be my support


The mischief they intend me


Shall quickly come to naught.



2 This I believe, yea, rather,


In this I make my boast,


That God is my dear Father,


The Friend who loves me most;


And that, whate'er betide me,


My Savior is at hand


Through stormy seas to guide me


And bring me safe to land.



3 I build on this foundation:


That Jesus and His blood


Alone are my salvation,


The true, eternal good.


Without Him all that pleases


Is valueless on earth;


The gifts I owe to Jesus


Alone my love are worth.



4 My Jesus is my Splendor,


My soul's bright beaming Sun;


Were He not my Defender


Before God's awful throne,


I never should find favor


And mercy in His sight,


But be destroyed forever


As darkness by the light.



5 He canceled my offenses,


And saved my soul from death;


'Tis He who ever cleanses


Me from my sins through faith.


In Him I can be cheerful,


Bold, and undaunted aye.


In Him I am not fearful


Of God's great Judgment Day.



6 Naught, naught, can e'er condemn me,


Nor set my hope aside;


Now hell no more can claim me,


Its fury I deride.


No sentence e'er reproves me,


No ill destroys my peace,


For Christ, my Savior, loves me


And shields me with His grace.



7 His Holy Spirit dwelleth


Within my willing heart,


Tames it when it rebelleth


And soothes the keenest smart.


He crowns His work with blessing,


And helpeth me to cry,


'My Father!' without ceasing,


To Him who dwells on high.



8 And when my soul is lying


Weak, trembling, and opprest,


He pleads with groans and sighing


That cannot be expressed;


But God's quick eye discerns them,


Although they give no sound,


And into language turns them


E'en in the heart's deep ground.



9 To mine His Spirit speaketh


Sweet word of holy cheer,


How God, to him that seeketh


For rest, is always near,


And how He hath erected


A city fair and new,


Where what our faith expected


We evermore shall view.



10 In yonder home doth flourish


My heritage, my lot;


Though here I die and perish,


My heav'n shall fail me not.


Though care my life oft saddens


And causeth tears to flow,


The light of Jesus gladdens


And sweetens ev'ry woe.



11 Who clings with resolution


To Him whom Satan hates


Must look for persecution


Which never here abates;


Reproaches, griefs and losses


Rain fast upon his head,


A thousand plagues and crosses


Become his daily bread.



12 All this I am prepared for,


Yet am I not afraid;


By Thee shall all be cared for,


To whom my vows were paid.


Though life and limb it cost me,


And all the earthly store


Which once so much engrossed me,


I love Thee all the more.



13 Not fire, nor sword, not thunder,


Shall sever me from Thee;


Though earth be rent asunder,


Thou'rt mine eternally.


Not hunger, thirst, nor danger,


Not pain, or pinching want,


Nor mighty princes' anger


My fearless soul shall daunt.



14 No angel, and no gladness,


No throne, no pomp, nor show,


No love, no hate, no sadness,


No pain, no depth of woe,


No scheme of man's contrivance,


Though it be great or small,


Shall draw me from Thy guidance


Nor one of these, nor all!



15 My merry heart is springing,


And knows not how to pine;


'Tis full of joy and singing,


And radiancy divine, 


The Sun whose smiles so cheers me


Is Jesus Christ alone;


To have Him always near me


Is heav'n itself begun.



"
182,"We love the venerable house",,"Ralph Waldo Emerson",,,,"we_love_the_venerable_house","BHPPD866","A Book of Hymns for Public and Private Devotion (15th ed.)",1866,,"We love the venerable house

Our fathers built to God;

In heaven are kept their grateful vows,

Their dust endears the sod.

Here holy thoughts a light have shed

From many a radiant face,

And prayers of tender hope have spread

A perfume through the place.

And anxious hearts have pondered here

The mystery of life,

And prayed the Eternal Spirit clear

Their doubts and aid their strife.

From humble tenements around

Came up the pensive train,

And in the church a blessing found,

Which filled their homes again.

For faith, and peace, and mighty love,

That from the Godhead flow,

Showed them the life of heaven above

Springs from the life below.

They live with God, their homes are dust;

But here their children pray,

And, in this fleeting lifetime, trust

To find the narrow way.

On him who by the altar stands,

On him Thy blessing fall!

Speak through his lips Thy pure commands,

Thou Heart, that lovest all!

"
183,"O bread to pilgrims given",,"Ray Palmer","Unknown",,,"o_bread_to_pilgrims_given","HAGA1895","The Hymnal: published by the Authority of the General Assembly of the Presbyterian Church in the U.S.A.",1895,"Gender Neutral","1 O Bread to pilgrims given,


O Food that angels eat,


O Manna sent from heaven,


For heaven-born natures meet,


Give us, for Thee long pining,


To eat till richly filled;


Till, earth's delights resigning,


Our every wish is stilled.



2 O Water, life-bestowing,


Forth from the Saviour's heart,


A fountain purely flowing,


A fount of love Thou art:


O let us, freely tasting,


Our burning thirst assuage;


Thy sweetness, never wasting,


Avails from age to age.



3 Jesus, this feast receiving,


We Thee unseen adore;


Thy faithful word believing,


We take and doubt no more:


Give us, Thou True and Loving,


On earth to live in Thee;


Then, death the veil removing,


Thy glorious face to see.



Amen.


"
184,"Come, Holy Ghost, in love",,"Ray Palmer",,,,"come_holy_ghost_in_love_shed_on_us","HAGA1895","The Hymnal: published by the Authority of the General Assembly of the Presbyterian Church in the U.S.A.",1895,"Gender Neutral","1 Come, Holy Ghost, in love


Shed on us from above


Thine own bright ray:


Divinely good Thou art;


Thy sacred gifts impart


To gladden each sad heart:


O come today!



2 Come, tenderest Friend and best,


Our most delightful Guest,


With soothing power:


Rest, which the weary know;


Shade, 'mid the noontide glow;


Peace, when deep griefs o'erflow, --


Cheer us this hour.



3 Come, Light serene, and still,


Our inmost bosoms fill;


Dwell in each breast:


We know no dawn but Thine;


Send forth Thy beams divine


On our dark souls to shine,


And make us blest.



4 Exalt our low desires;


Extinguish passion's fires;


Heal every wound:


Our stubborn spirits bend,


Our icy coldness end,


Our devious steps attend,


While heavenward bound.



5 Come, all the faithful bless:


Let all who Christ confess


His praise employ;


Give virtue's rich reward;


Victorious death accord,


And, with our glorious Lord,


Eternal joy.



Amen."
