firstLine,textTitle,refrainFirstLine,languages,authors,meter,textAuthNumber,textSources
"A golden glory wraps thee","Jerusalem, I long for thee","Jerusalem, Jerusalem",,"Fannie E. Davison",,a_golden_glory_wraps_thee,
"A golden morn breaks sweetly o'er thee","Leave all for glory","Away, away",,"John F. Rusling",,a_golden_morn_breaks_sweetly_oer_thee,
"A golden promise I may claim",,"The sweet new name",,"Harriet E. Jones",,a_golden_promise_i_may_claim,
"A golden twinkle in the wayside grass","Glow-worm and star",,,"J. J. Piatt",,a_golden_twinkle_in_the_wayside_grass,
"A Golgotan megszunt a jajszo",,,,,,a_golgotan_megszunt_a_jajszo,
"A gonosztevonek dolgan Eszembe veszem azt",,,,,,a_gonosztevonek_dolgan_eszembe_veszem_az,
"A good High-Priest is [has] come",,,,"John Cennick",,a_good_high_priest_is_come,
"A good man showeth favour and lendeth",,,,,,a_good_man_showeth_favour_and_lend_chant,
"A good man's footsteps by the Lord",,,,,,a_good_mans_footsteps_by_the_lord,
"A good right hand, a left","What they may do","This they may do",,"Eleanor Allen Schroll",,a_good_right_hand_a_left,
"A good ship, a burning wreck","A very present help in trouble","Rock of Ages, cleft for me",,"B. H. Tripp",,a_good_ship_a_burning_wreck,
"A goodly formal saint",,,,"Charles Wesley",,a_goodly_formal_saint,
"A goodly pearl lies hidden well",,,,"P. C. Paulsen",,a_goodly_pearl_lies_hidden_well,
"A goodly theme is mine","A Goodly Theme Is Mine",,English,,"6.6.8.6 D",a_goodly_theme_is_mine,
"A goodly thing it is to meet",,,,,,a_goodly_thing_it_is_to_meet,
"A goodly tree our fathers planted here",,,,"John White Chadwick",,a_goodly_tree_our_fathers_planted_here,
"A gorwyd pyrth y Nefoedd wiw",,,,,,a_gorwyd_pyrth_y_nefoedd_wiw,
"A gospel according to you",,"Does the gospel according to you",,"M. Homer Cummings",,a_gospel_according_to_you,
"A gospel was written by Matthew of old",,"The gospel according to you",,"William C. Poole",,a_gospel_was_written_by_matthew_of_old,
"A gracious form, Amidst the storm",,"Sweetly memory of Galilee",,"Charles Walker Ray",,a_gracious_form_amidst_the_storm,
"A gracious word of peace comes",,"I am glad that God in love",,"Mattie M. Boteler",,a_gracious_word_of_peace_comes,
"A grain of corn an infant's hand","A grain of corn an infant's hand",,,"James Montgomery",8.8.8.8,a_grain_of_corn_an_infants_hand,
"A grain of faith is all","Grain of faith",,,,,a_grain_of_faith_is_all,
"A grand old song, so sweet and strong","Old glory hallelujah","Glory, glory, glory, hallelujah",,"J. C. Johnson",,a_grand_old_song_so_sweet_and_strong,
"A grasshopper knocked at a beehive door","The bee and the grasshopper",,,"Thomas P. Westendorf",,a_grasshopper_knocked_at_a_beehive_door,
"A grateful heart a garden is",,,English,"Ethel Wasgatt Dennis",,a_grateful_heart_a_garden_is,
"A grateful hush,a peaceful calm",,,,"Eliza E. Hewitt",,a_grateful_husha_peaceful_calm,
"A grateful, joyful song",,,,,,a_grateful_joyful_song,
"A Great and Mighty Wonder","A Great and Mighty Wonder",,"Greek; English","John Mason Neale; Anatolius",7.6.7.6,a_great_and_mighty_wonder_a_full_and_hol,
"A great and mighty wonder",,,,,7.6.7.6.6.7.6,a_great_and_mighty_wonder,
"A great and mighty wonder  Our Christmas festal",,,,"John Mason Neale",,a_great_and_mighty_wonder_our_christmas_,
"A great and mighty wonder, Today",,"Repeat the hymn again",,"John Mason Neale",,a_great_and_mighty_wonder_today,
"A great and noble army",,"We march in form array",,"William Bennett",,a_great_and_noble_army,
"A great deliverer is the Lord",,"My great deliverer is the Lord",,"J. M. Hunter",,a_great_deliverer_is_the_lord,
"A great feast is ready, and you are called","The feast of the great King","The King is inviting you there",,"Franklin L. Eiland",,a_great_feast_is_ready_and_you_are_calle,
"A great feast is ready prepared",,"O come to the feast my brother",,"John McPhail",,a_great_feast_is_ready_prepared,
"A great reform, the time is near","No such word as fail","The hand of God is in the work",,"Fanny J. Crosby",,a_great_reform_the_time_is_near,
"A great Rock stands in a weary",,,,"Edward Husband",,a_great_rock_stands_in_a_weary,
"A great Rock stands in a weary  land","The sheltering rock","O why, O why, will ye die",,"Edward Husband; D. C. Wright",,a_great_rock_stands_in_a_weary_land,
"A great Rock stands in the barren land","Why will ye die","Then why will ye die",,"D. C. Wright",,a_great_rock_stands_in_the_barren_land,
"A great world, a fair world","God and the world",,,,,a_great_world_a_fair_world,
"A greater and more perfect","The new creation temple",,,"R. Prinzing",,a_greater_and_more_perfect,
"A greater work we have to do","Hard times for the flesh",,,,,a_greater_work_we_have_to_do,
"A greater world than I have known",,,,"S. N. Greene",,a_greater_world_than_i_have_known,
"A greeting to this Sabbath day",,"A welcome, we sing to this Sabbath blest",,"Franklin E. Belden",,a_greeting_to_this_sabbath_day,
"A greeting warm, we now extend",,"Then let our song of welcome",,"L. G. McClendon",,a_greeting_warm_we_now_extend,
"A group of happy children",,,,,,a_group_of_happy_children,
"A growing day and a waking field","A plowing song","Sons of the soil are we",,"Fannie E. Buchanan",,a_growing_day_and_a_waking_field,
"A guardian angel","Guardian angels","Beautiful angels, mount",,"M. R. Butler",,a_guardian_angel,
"A guide, a comforter, bequeathed",,,,,,a_guide_a_comforter_bequeathed,
"A guiding hand I clearly see",,"I do not ask to see",,"George O. Webster",,a_guiding_hand_i_clearly_see,
"A guilty, helpless sinner, Lord",,,,,,a_guilty_helpless_sinner_lord,
"A guilty sinner once was I","Jesus died for me","Jesus Savior, thy dying blood",,"H. G. Jackson",,a_guilty_sinner_once_was_i,
"A guilty soul, by Pharisees of",,"There is none righteous",,,,a_guilty_soul_by_pharisees_of,
"A guilty soul, by Pharisees of old",,"There is none righteous",,,,a_guilty_soul_by_pharisees_of_old,
"A guilty, weak and helpless worm",,,,,,a_guilty_weak_and_helpless_worm,
"A halo rests upon Thy brow","A halo rests upon Thy brow",,,"John Brownlie",8.8.8.8,a_halo_rests_upon_thy_brow,
"A hand all bruised and bleeding",,"O, don't you hear Him knocking",,"Johnson Oatman",,a_hand_all_bruised_and_bleeding,
"A hand that is mighty e'er leads me along",,"My Father's own hand",,"Johnson Oatman",,a_hand_that_is_mighty_eer_leads_me_along,
"A hand there is to guide","The guiding hand","I need this hand",,"William W. Vansant",,a_hand_there_is_to_guide,
"A hanyatlo nap rideg intesere",,,,,,a_hanyatlo_nap_rideg_intesere,
"A happy band each Sabbath","Working for Jesus","We're working, working",,"Josie C. Malott",,a_happy_band_each_sabbath,
"A happy band of children",,"Then sing, then sing, then, sing happily",,"A. Parsons; W. B. Carnes",,a_happy_band_of_children,
"A happy band of helpers",,,,"Alice Jean Cleator",,a_happy_band_of_helpers,
"A happy band of reapers","Join the reapers' band","O join then the reaper's band",,"Grant Colfax Tullar",,a_happy_band_of_reapers,
"A happy carol we sing","'Tis Christmas","The gladdest word our lips",,"Edith Sanford Tillotson",,a_happy_carol_we_sing,
"A happy day for man is dawning","The world is waking","Hurrah, we leave the night of error",,,,a_happy_day_for_man_is_dawning,
"A happy greeting now we bring",,,,"Lizzie DeArmond",,a_happy_greeting_now_we_bring,
"A happy, happy Christmas","Happy, happy Christmas",,,"John S. B. Monsell",,a_happy_happy_christmas,
"A happy, happy welcome",,,,,,a_happy_happy_welcome,
"A happy home divine, awaits this soul of mine",,"Sweet to dwell with the Lord divine",,"Thomas Franklin Johnson",,a_happy_home_divine_awaits_this_soul_of_,
"A happy home is waiting me","O meet me over there","A home is waiting me",,"Elisha A. Hoffman",,a_happy_home_is_waiting_me,
"A happy, joyous band are we","A happy band","A home in heaven",,"Laura E. Newell",,a_happy_joyous_band_are_we,
"A happy meeting in  the bright, shining world","In that bright, shining world","Lord, I hope to meet you yonder in that",,,,a_happy_meeting_in_the_bright_shining_wo,
"A happy new feeling dwells within","Wonderful love is flooding my soul","What wonderful love is flooding my soul",,"Milton A. Dodson",,a_happy_new_feeling_dwells_within,
"A happy New Year for",,"Happy New Year",,"Henry S. Perkins",,a_happy_new_year_for,
"A happy New-year to thee, father",,,,"Alfred Arthur Graley",,a_happy_newyear_to_thee_father,
"A Happy New Year to thee, schoolmate",,,,,,a_happy_new_year_to_thee_schoolmate,
"A happy new year to you all",,,,"I. W. Benham",,a_happy_new_year_to_you_all,
"A happy pilgrim band we're marching on to glory",,"We march along with gladness and with song",,"N. A. Hydan",,a_happy_pilgrim_band_were_marching_on_to,
"A happy song abides within","I'm saved by grace",,,"James Rowe",,a_happy_song_abides_within,
"A happy song each day is mine",,"He holds my hand",,"James Rowe",,a_happy_song_each_day_is_mine,
"A happy song in ringing down",,,,"W. Allan Sims",,a_happy_song_in_ringing_down,
"A happy song is in my soul",,"I sing of love divine and free",,"James Rowe",,a_happy_song_is_in_my_soul,
"A happy song is ringing","My song is happy day","O happy day",,"Luther G. Presley",,a_happy_song_is_ringing,
"A happy song of love is ringing","My happy song of love",,,"John M. Henson",,a_happy_song_of_love_is_ringing,
"A happy song we raise",,"Voices gladly singing",,"Edith Sanford Tillotson",,a_happy_song_we_raise,
"A happy sound is floating",,"The children are marching",,"Jennie Wilson",,a_happy_sound_is_floating,
"A happy sunrise that will be",,"When morning dawns",,"Nolin Jeffress",,a_happy_sunrise_that_will_be,
"A happy time is coming","I'll sail away home","I'll sail away, yes, I'll sail away",,"Grady C. Morris",,a_happy_time_is_coming,
"A happy time is sure to come",,"O, what a song we all shall sing",,"Curtis Taylor",,a_happy_time_is_sure_to_come,
"A happy time will surely come","Heaven's homecoming day","Then sing of home",,"Mrs. Austin Williams",,a_happy_time_will_surely_come,
"A happy voyage to Canaan, where Zion's glory",,,,,,a_happy_voyage_to_canaan_where_zions_glo,
"A hardy mariner","Burial at sea",,,,,a_hardy_mariner,
"A haze on the far horizon",,,,"William H. Carruth",,a_haze_on_the_far_horizon,
"A health to dear woman, she bids us untwine",,,,,,a_health_to_dear_woman_she_bids_us_untwi,
"A heart that, when my days are glad",,,,,,a_heart_that_when_my_days_are_glad,
"A heavenly flame creates my song",,,,,,a_heavenly_flame_creates_my_song,
"A heavenly home forever",,"Home, home of my Savior",,"William A. Ogden",,a_heavenly_home_forever,
"A heavenly host triumphant bring",,,,,,a_heavenly_host_triumphant_bring,
"A heavenly light now is dawning","The jubilee chorus",,,"L. A. Morris",,a_heavenly_light_now_is_dawning,
"A heavenly voice is calling",,,,"William Cary",,a_heavenly_voice_is_calling,
"A heav'nly guest is knocking",,"Arise, arise! Admit him quickly",,"Fanny J. Crosby",,a_heavenly_guest_is_knocking,
"A helper of my Savior",,"Through scenes dark and dreary",,"Charles Walker Ray",,a_helper_of_my_savior,
"A helper of my Savior I'd be",,"Through scenes dark and dreary",,"Charles Walker Ray",,a_helper_of_my_savior_id_be,
"A helper true, the Savior needs",,"It may be you",,"James Rowe",,a_helper_true_the_savior_needs,
"A helpless child of Adam's race",,,,,,a_helpless_child_of_adams_race,
"A helpless creature here I lie",,,,,,a_helpless_creature_here_i_lie,
"A highway hath the Lord made known",,,,,,a_highway_hath_the_lord_made_known,
"A highway hath the Lord made known, Through",,,,,,a_highway_hath_the_lord_made_known_throu,
"A highway shall be there, The prophets all declare","Keep on the King's highway","We will walk on the King's highway",,,,a_highway_shall_be_there_the_prophets_al,
"A hill, and thereon a lone cross did I view","Jesus was speaking to me","Speaking to me, yes, speaking to me",,"Ada Blenkhorn",,a_hill_and_thereon_a_lone_cross_did_i_vi,
"A holiday in summer","Our country's birthday",,,"Edith Lovell Thomas",,a_holiday_in_summer,
"A holy air is breathing round",,,,"Abiel A. Livermore",,a_holy_air_is_breathing_round,
"A holy angel from on high",,,,"Parley Parker Pratt",,a_holy_angel_from_on_high,
"[A Holy Baby]","A Holy Baby",,,"Tom Colvin",,a_holy_baby,"<i>Book of Praise</i>"
"A holy dawn is breaking",,"O ring the merry, merry bells",,,,a_holy_dawn_is_breaking,
"A holy guest from heaven's gate",,"No room for Jesus in the inn",,"James E. Hawes",,a_holy_guest_from_heavens_gate,
"A holy hush within my heart",,"Trusting in the precious promise",,"Nellie Ward Trask",,a_holy_hush_within_my_heart,
"A holy light is breaking across Judea's night",,"O ring the merry, merry bells",,,,a_holy_light_is_breaking_across_judeas_n,
"A holy mystery is here",,,,"Matthias Loy",,a_holy_mystery_is_here,
"A holy quiet reigns around",,,,"Anna Letitia Barbauld",,a_holy_quiet_reigns_around,
"A holy sacrament his day",,,,"George Wither",,a_holy_sacrament_his_day,
"A holy spirit goes to war",,,,"C. Burnz",,a_holy_spirit_goes_to_war,
"A holy state is wedded life",,,,"E. Cronenwett",,a_holy_state_is_wedded_life,
"A home, a heavenly home","O Jesus, dear Redeemer",,,"B. F. Brown",,a_home_a_heavenly_home,
"A home, a home, a happy home","A home and a crown",,,"Hezekiah J. Bowman",,a_home_a_home_a_happy_home,
"A home for me, what a joyful thought",,,,,,a_home_for_me_what_a_joyful_thought,
"A home for the friendless",,,,,,a_home_for_the_friendless,
"A home in Galilee, sad one day",,"Where are your troubles today",,"R. F. Jenkins",,a_home_in_galilee_sad_one_day,
"A home in heaven","There we'll be forever happy","Happy home, happy home",,,,a_home_in_heaven,
"A home in heaven, as the sufferer lies",,,,,,a_home_in_heaven_as_the_sufferer_lies,
"A home in heaven is waiting the",,"A home is waiting",,"C. Williams",,a_home_in_heaven_is_waiting_the,
"A home in heaven, 'tis the Christian's hope",,"Happy home, blessed home",,"R. G. Staples",,a_home_in_heaven_tis_the_christians_hope,
"A home in heaven, what a beautiful thought",,"Beautiful, beautiful home",,"A. S. Doughty",,a_home_in_heaven_what_a_beautiful_though,
"A home in heaven, what a joyful thought",,"Traveling on so glad and free",,"William Hunter",,a_home_in_heaven_what_a_joyful_thought,
"A home in heaven when at last",,,,"Leo C. Cox",,a_home_in_heaven_when_at_last,
"A home in heaven, when life shall end",,"We will be happy, with our friends forever",,"James L. Nicholson",,a_home_in_heaven_when_life_shall_end,
"A home in heaven you hope to gain","When you have time",,,"Elisha A. Hoffman",,a_home_in_heaven_you_hope_to_gain,
"A home in those mansions","The home beyond the river","O that beautiful land",,"E. C. Ellsworth",,a_home_in_those_mansions,
"A home on high is waiting","Over the border land","Just over the border land",,"John H. Alleman",,a_home_on_high_is_waiting,
"A home, on high is waiting me","Over the border land","Just over the border land",,"John H. Alleman",,a_home_on_high_is_waiting_me,
"A home with Christ the Master",,,,"R. F. R. Bell",,a_home_with_christ_the_master,
"A home with Jesus, my Savior",,,,"Knowles Shaw",,a_home_with_jesus_my_savior,
"A home without Jesus is no home for me",,"No songs to His glory, no worship devout",,"William C. Martin",,a_home_without_jesus_is_no_home_for_me,
"A homeland of beauty lies over the tide",,"At rest on the beautiful shore",,"Jennie Wilson",,a_homeland_of_beauty_lies_over_the_tide,
"A homeland of glory, lovely and fair","There's nothing in heaven but love","I'm singing glory to Jesus",,"W. Oliver Cooper",,a_homeland_of_glory_lovely_and_fair,
"A homeless stranger amongst*",,,,,,a_homeless_stranger_amongst,
"A homeless stranger amongst us came",,,,,,a_homeless_stranger_amongst_us_came,
"A hope of heaven, a precious treasure",,,,,,a_hope_of_heaven_a_precious_treasure,
"A host no man can number",,"There's victory, great victory",,,,a_host_no_man_can_number,
"A host of spirits round the throne",,,,"Benjamin Beddome",,a_host_of_spirits_round_the_throne,
"A host so vast and numberless",,"A throng no man can number",,"H. L. Frisbie",,a_host_so_vast_and_numberless,
"A house called character",,"Building day by day",,"Thomas C. Neal",,a_house_called_character,
"A household band",,,,"H. Miss Phillips",,a_household_band,
"A humble priest on Peter's throne",,,,"Catherine Maguire",,a_humble_priest_on_peters_throne,
"A hundred noble wishes fill my heart",,,,"C. F. Richardson",,a_hundred_noble_wishes_fill_my_heart,
"A hundred sheep the shepherd told",,,,"J. G. W.",,a_hundred_sheep_the_shepherd_told,
"A hundred thousand souls a day","A missionary cry","They're passing, passing fast away",,"Albert B. Simpson",,a_hundred_thousand_souls_a_day,
"A hundred thousand voices raise",,,,,,a_hundred_thousand_voices_raise,
"A hundred thousand welcomes, dearest Jesus",,,,,,a_hundred_thousand_welcomes_dearest_jesu,
"A hundred years, a hundred years, And lo, the","Centenary hymn",,,"Lewis Hartsough",,a_hundred_years_a_hundred_years_and_lo_t,
"A hundred years ago, not one","A hundred years ago, not one",,,"James Montgomery",6.6.8.6,a_hundred_years_ago_not_one,
"A hundred years, and still we be the honored",,"A hundred years through hopes and fears",,"Maria Straub",,a_hundred_years_and_still_we_be_the_hono,
"[A Hundred Years! How Small A Part]","A Hundred Years! How Small A Part",,,"Fred Pratt Green",,a_hundred_years_how_small_a_part,"<i>Partners in Creation</i> (Hope Publishing, 2003)"
"A hunter, early ranging along","The hunter's prize",,,,,a_hunter_early_ranging_along,
"A hush is in the evening sky",,,,"Amos R. Wells",,a_hush_is_in_the_evening_sky,
"A hymn for martyrs sweetly sing",,,,"The Venerable Bede",,a_hymn_for_martyrs_sweetly_sing,
"A hymn of glory let us gratefully raise",,,,"Elizabeth R. Charles",,a_hymn_of_glory_let_us_gratefully_raise,
"A hymn of glory let us gratefully sing, New hymns","A hymn of glory let us sing",,,"Elizabeth R. Charles",,a_hymn_of_glory_let_us_gratefully_sing_n,
"A hymn of glory let us sing","A Hymn of Glory Let Us Sing",,English,"The Venerable Bede; Elizabeth Rundle Charles; Benjamin Webb",8.8.8.8,a_hymn_of_glory_let_us_sing_new_hymns,
"A hymn of glory let us sing (Wesley)",,,,"Charles Wesley, 1707-1788",,a_hymn_of_glory_let_us_sing_wesley,
"A hymn of humble, heartfelt thanks",,,,"Mrs. C. H. Morris",,a_hymn_of_humble_heartfelt_thanks,
"A hymn of martyrs let us sing",,,,"The Venerable Bede",,a_hymn_of_martyrs_let_us_sing,
"A hymn of praise today we raise to Christ",,"Onward, forward, with happy hearts and free",,"Ada Blenkhorn",,a_hymn_of_praise_today_we_raise_to_chris,
"A hymn of thanksgiving",,"With souls true and tender",,,,a_hymn_of_thanksgiving,
"A hymn to St. Vincent de Paul","Saint Vincent de Paul",,,,,a_hymn_to_st_vincent_de_paul,
"A i monti il guardo trepido",,,,,,a_i_monti_il_guardo_trepido,
"A is for Adam, no knowledge to win","Gim' me de wings",,,"William Johnson",,a_is_for_adam_no_knowledge_to_win,
"A is for anyone",,,,,,a_is_for_anyone,
"A is our Advocate, Jesus His name",,,,,,a_is_our_advocate_jesus_his_name,
"A Jacob bajaron angeles de Dios","Los angeles",,,,,a_jacob_bajaron_angeles_de_dios,
"A jesucristo quiero llegarme",,"Ven, o nino, ven, con el feliz seras",,,,a_jesucristo_quiero_llegarme,
"A jesucristo ven sin, tardar",,"O, cuan grata nuestra reunion",,"J. B. Cabrera",,a_jesucristo_ven_sin_tardar,
"A Jesus Cristo contarei tudo","A Jesus Cristo Contarei Tudo","A Jesus Cristo, meu Mestre amado","English; Portuguese","Elisha Albright Hoffmann; Salomão Luiz Ginsburg, 1867-1927","10.9.10.9 with refrain",a_jesus_cristo_contarei_tudo,
"A Jesus, o Rei da glória, santos hinos entoai.","A Jesus, o Rei da Glória",,"English; Portuguese","Salomão Luiz Ginsburg; Henry Francis Lyte",8.7.8.7.8.7,a_jesus_o_rei_da_glria_santos_hinos_ento,
"A Jesus pertenecemos, nos debemos alegrar",,,,"Juan Bautista Cabrera",,a_jesus_pertenecemos_nos_debemos_alegrar,
"A Jesus solitaire  Captif au sanctuaire",,"Ami tendre et fidele",,,,a_jesus_solitaire_captif_au_sanctuaire,
"A journey I go",,"Hallelujah to the Lamb",,,,a_journey_i_go,
"A joy and a peace, never known before","So great is His love",,,"W. Elmo Mercer",,a_joy_and_a_peace_never_known_before,
"A joy divine now fills",,"The clouds have rolled",,"E. L. Smith",,a_joy_divine_now_fills,
"A joy unknown to my poor soul","Joy unknown","Glory, glory to Jesus",,"J. H. Jackson",,a_joy_unknown_to_my_poor_soul,
"A joyful band, O Lord",,,,,,a_joyful_band_o_lord,
"A joyful song I love to sing",,"Sing glory, sing glory",,"Tina Spencer",,a_joyful_song_i_love_to_sing,
"A joyful song is heard again","On the King's highway","We're marching on the King's highway",,"R. F. Lehman",,a_joyful_song_is_heard_again,
"A joyful song now let us raise",,,,,,a_joyful_song_now_let_us_raise,
"A joyful song of praise we sing",,"In Him rejoice with heart and voice",,"Ambrose N. Blatchford",,a_joyful_song_of_praise_we_sing,
"A joyful song to God",,,,"Sebastian Streeter",,a_joyful_song_to_god,
"A Joyful sound it is, the voice",,,,,,a_joyful_sound_it_is_the_voice,
"A joyous, gay and happy band",,,,,,a_joyous_gay_and_happy_band,
"A joyous little girl","I've done it, done it now",,,,,a_joyous_little_girl,
"A joyous song breaks forth among us",,,,"Franz Höller",,a_joyous_song_breaks_forth_among_us,
"A joyous song once more we bring",,,,"William H. Groser",,a_joyous_song_once_more_we_bring,
"A judgeship is vacant",,"Will it be one of you",,"C. B. Morrill",,a_judgeship_is_vacant,
"A junior band from far and near",,"O may our junior band",,,,a_junior_band_from_far_and_near,
"A ka tsu ki no ka ne wa ta na ri","Bukkyo seinen kai kaika",,,"Yasushi Shihoda",,a_ka_tsu_ki_no_ka_ne_wa_ta_na_ri,
"A ki a felseges Urnak Lakozik oltalmaban",,,,,,a_ki_a_felseges_urnak_lakozik_oltalmaban,
"A ki ertem megnyilal",,,,,,a_ki_ertem_megnyilal,
"A ki ertem megnyilal, rejts el, oh orok koszal",,,,,,a_ki_ertem_megnyilal_rejts_el_oh_orok_ko,
"A ki nem jar hitlenek tanacsan",,,,,,a_ki_nem_jar_hitlenek_tanacsan,
"A kik biznak az Ur Istenben",,,,,,a_kik_biznak_az_ur_istenben,
"A kind, loving Father we have","The heavenly Father",,,,,a_kind_loving_father_we_have,
"A kind, loving Savior, has died for our sins","He died for you","The Savior is calling from heaven above",,"M. Isabella Ritter",,a_kind_loving_savior_has_died_for_our_si,
"A King divine is a friend of mine",,"O Jesus, be a friend to me",,"C. Austin Miles",,a_king_divine_is_a_friend_of_mine,
"A King is born in Bethlehem","King over all","Shepherds, hasten to the manger",,"C. Austin Miles",,a_king_is_born_in_bethlehem,
"A King might miss the guiding star",,,,"Louis FitzGerald Benson",,a_king_might_miss_the_guiding_star,
"[A King on High Is Reigning]","A King on High Is Reigning",,,"Timothy Dudley-Smith","7.6.7.6 D",a_king_on_high_is_reigning,"<i>A House of Praise</i> (Hope Publishing Company,, 2003)"
"A king put on a feast","A King Put On a Feast",,English,"Gracia Grindal, 1943-",6.6.6.6.8.8,a_king_put_on_a_feast,
"A king sat on his throne of state",,,,"Daniel R. Lucas",,a_king_sat_on_his_throne_of_state,
"A King shall reign in righteousnes",,,,"Sebastian Streeter",,a_king_shall_reign_in_righteousnes,
"A King was born today",,"Let the people of the world",,"Rene Bronner",,a_king_was_born_today,
"A King when in the crib he lay, A King when on the",,"Loudly lift a loyal greeting",,Keating,,a_king_when_in_the_crib_he_lay_a_king_wh,
"A king would Isr'l have",Saul,"For Jesus is the King",,"James F. Harrison",,a_king_would_isrl_have,
"A kiss when I wake in the morning","My mother's kiss",,,"A. E. Fabeus",,a_kiss_when_i_wake_in_the_morning,
"A kittle while in darkness here",,,,"W. F. Cosner",,a_kittle_while_in_darkness_here,
"A knight renowned","Saint George and the dragon",,,,,a_knight_renowned,
"A Krisztus feltamadott! Hirdetik az angyalok",,,,,,a_krisztus_feltamadott_hirdetik_az_angya,
"A la battalla y a la victoria",,"No es la victoria de los ligeros",,"G. J. Schilling",,a_la_battalla_y_a_la_victoria,
"A la luz, a la luz, Al encuentro de Jesus",,,,"Federico Fliedner",,a_la_luz_a_la_luz_al_encuentro_de_jesus,
"A la obra santa del ministerio",,,,,,a_la_obra_santa_del_ministerio,
"A la suite du doux Jesus",,"Allons a Jesus, ne resistons plus",,,,a_la_suite_du_doux_jesus,
"A ladder from the land of light","The sunbeam",,,"John B. Tabb",,a_ladder_from_the_land_of_light,
"A Lamb bears all its guilt away",,,"German; English","J. Kelly; Paul Gerhardt",,a_lamb_bears_all_its_guilt_away,
"A Lamb goes forth, and bears the guilt",,,,"Paul Gerhardt",,a_lamb_goes_forth_and_bears_the_guilt,
"A Lamb goes forth our griefs to share",,,,"Paul Gerhardt",,a_lamb_goes_forth_our_griefs_to_share,
"A Lamb goes uncomplaining forth","A Lamb Goes Uncomplaining Forth",,"German; English","P. Gerhardt, 1607-76; H. Bartels, b. 1929",8.7.8.7.8.8.7.8.8.7,a_lamb_goes_uncomplaining_forth,"<i>Handbook to the Lutheran Hymnal, </i>St. Louis, 1942 (tr.)"
"A Lamb has come on earth to bear",,,,"E. Wilson",,a_lamb_has_come_on_earth_to_bear,
"A Lamb went forth, and bare the guilt",,,,"Paul Gerhardt",,a_lamb_went_forth_and_bare_the_guilt,
"A lame man sat at the beautiful gate",,"By the beautiful gate",,"John R. Clements",,a_lame_man_sat_at_the_beautiful_gate,
"A lamp brightly shines",,,,"Ida N. Tarbox",,a_lamp_brightly_shines,
"A lamp for our feet has been given","A Lamp for Our Feet Has Been Given",,English,"Granton Douglas Hay","9.8.9.8 D",a_lamp_for_our_feet_has_been_given,
"A lamp in the night, a song in time of sorrow",,"Blessed hope, blessed hope",,"D. W. Whittle",,a_lamp_in_the_night_a_song_in_time_of_so,
"A land by faith I see",,"No dying there",,"Francis A. Blackmer",,a_land_by_faith_i_see,
"A land of glory lies above","I long to go",,,"W. J. Cooksley",,a_land_of_glory_lies_above,
"A land of light, a land of joy","O sinless land, bright sinless land",,,"Elwood H. Stokes",,a_land_of_light_a_land_of_joy,
"A land that flows with milk and wine",,,,,,a_land_that_flows_with_milk_and_wine,
"A land there is beyond the sky",,"By and by, by and by the Savior comes",,"Douglas Russell",,a_land_there_is_beyond_the_sky,
"A land there is beyond the tomb","Sweet heaven of rest","'Tis heaven, sweet heaven",,,,a_land_there_is_beyond_the_tomb,
"A land unseen, O God, we seek",,,,,,a_land_unseen_o_god_we_seek,
"A land without tears",,,,"Katharyn Bacon",,a_land_without_tears,
"A last farewell, now, to the dead",,,,,,a_last_farewell_now_to_the_dead,
"A lay, a lay, good Christians!",,,,,,a_lay_a_lay_good_christians,
"A life at peace with God",,"Come in, my Lord, come in",,,,a_life_at_peace_with_god,
"A life in the future world",,,,,,a_life_in_the_future_world,
"A life in the temperance cause",,,,,,a_life_in_the_temperance_cause,
"A life of faith means a life of rest",,"Have faith in God, though the clouds hang low",,"George Whitefield D'Vys",,a_life_of_faith_means_a_life_of_rest,
"A life of temperance",,,,"Charles Marsh",,a_life_of_temperance,
"A life on the ocean wave",,,,,,a_life_on_the_ocean_wave,
"A life together in love and troth",,,,"Nikolai F. S. Grundtvig",,a_life_together_in_love_and_troth,
"A life with Jesus, O, how sweet",,,,,,a_life_with_jesus_o_how_sweet,
"A light arose in the Eastern sky","The shining gem","Our Christmas carol let us sing",,"D. P. Pond",,a_light_arose_in_the_eastern_sky,
"A light came out of darkness",,"Shall you, shall I, meet Jesus",,"William Hawley",,a_light_came_out_of_darkness,
"A light from heaven shines on my way",,"Follow the light",,"Palmer Hartsough",,a_light_from_heaven_shines_on_my_way,
"A light from heaven shone around ","A Light from Heaven",,English,"Gracia Grindal",8.8.8.8,a_light_from_heaven_shone_around,
"A light in the valley",,"Shine on, shine on, thou light of wondrous love",,"B. B. Edmiaston",,a_light_in_the_valley,
"A light is dawning from on high",,,,"J. L. Hackstaff",,a_light_is_dawning_from_on_high,
"A light is shining now for me","Light for me","O love eternal, can it be",,"G. W. Story",,a_light_is_shining_now_for_me,
"A light o'er my pathway is shining","Infinite love","I'll sing hallelujahs",,"Mrs. E. E. Williams",,a_light_oer_my_pathway_is_shining,
"A light, our darkened steps to guide",,,,,,a_light_our_darkened_steps_to_guide,
"A light shines o'er the earth",,"Follow the light",,"Laura E. Newell",,a_light_shines_oer_the_earth,
"A light shines on my pilgrim way",,"O wonderous love",,"Laura E. Newell",,a_light_shines_on_my_pilgrim_way,
